description,amount,category
"Cunningham, Howell and Keith",14.73,Healthcare
target next-generation eyeballs,44.58,Transport
"Little, Noble and Klein",65.46,Healthcare
whiteboard impactful markets,16.72,Utilities
Hernandez Group,17.26,Utilities
envisioneer extensible networks,40.72,Healthcare
Mitchell LLC,79.21,Transport
scale scalable partnerships,47.99,Dining Out
Holloway and Sons,27.97,Utilities
matrix transparent e-services,80.51,Groceries
Garcia PLC,63.31,Dining Out
redefine web-enabled niches,48.72,Healthcare
Jones LLC,20.66,Entertainment
disintermediate back-end systems,49.67,Healthcare
Johnson Inc,89.86,Entertainment
cultivate user-centric networks,47.85,Entertainment
Perez Group,75.81,Dining Out
strategize wireless e-markets,77.85,Dining Out
"Petty, Harmon and Smith",64.13,Dining Out
whiteboard mission-critical e-business,87.62,Dining Out
Miller and Sons,73.77,Entertainment
facilitate innovative markets,39.40,Healthcare
Curtis and Sons,90.47,Healthcare
morph bleeding-edge eyeballs,13.22,Groceries
"Jones, Black and Monroe",77.51,Entertainment
embrace transparent mindshare,94.81,Entertainment
Knight LLC,37.24,Utilities
empower world-class models,36.39,Transport
Hughes-Russo,70.71,Groceries
mesh open-source e-commerce,61.47,Utilities
Simmons-Brewer,30.99,Entertainment
innovate out-of-the-box methodologies,19.48,Utilities
Castillo-Grant,18.23,Entertainment
syndicate cross-platform bandwidth,97.01,Dining Out
Aguilar-Nichols,70.61,Utilities
incentivize global users,67.73,Dining Out
French-Brown,10.95,Groceries
strategize turn-key applications,95.51,Utilities
Pham PLC,83.13,Dining Out
innovate global metrics,58.65,Groceries
Mitchell Ltd,12.16,Healthcare
transition open-source supply-chains,96.74,Entertainment
Larson-Perkins,50.07,Dining Out
reinvent wireless interfaces,62.26,Dining Out
Ortega-Williams,61.71,Healthcare
synthesize mission-critical eyeballs,52.45,Utilities
"Rosales, Jones and Jackson",20.79,Transport
streamline bleeding-edge convergence,79.77,Utilities
"Hansen, Lee and Moore",91.78,Dining Out
cultivate best-of-breed paradigms,71.83,Utilities
"Scott, Stout and Lee",86.37,Transport
engineer transparent solutions,89.89,Healthcare
Cross-Turner,56.47,Dining Out
evolve visionary initiatives,79.01,Transport
Carter-Soto,67.48,Dining Out
aggregate ubiquitous mindshare,64.46,Entertainment
"Murray, Haney and Moore",52.33,Utilities
productize bleeding-edge markets,94.28,Groceries
Norris-Brooks,91.89,Healthcare
implement proactive eyeballs,68.02,Entertainment
Jordan and Sons,68.99,Dining Out
exploit clicks-and-mortar web-readiness,26.25,Healthcare
Olson-Anderson,55.08,Dining Out
innovate collaborative supply-chains,62.93,Groceries
Martinez LLC,46.78,Healthcare
orchestrate web-enabled synergies,23.00,Dining Out
Castillo PLC,92.76,Healthcare
whiteboard 24/365 experiences,21.88,Transport
Smith Inc,61.97,Entertainment
architect B2B methodologies,86.38,Utilities
Dixon LLC,25.78,Utilities
whiteboard best-of-breed networks,44.70,Utilities
Price-Hanson,93.61,Groceries
streamline ubiquitous deliverables,30.54,Healthcare
Garcia-May,26.10,Transport
engineer back-end paradigms,57.13,Transport
Cooper-Pearson,39.12,Healthcare
streamline real-time architectures,43.64,Transport
Fisher Ltd,49.53,Groceries
drive open-source partnerships,51.34,Utilities
"Lawrence, Rowe and Aguilar",22.51,Dining Out
innovate turn-key bandwidth,78.77,Healthcare
Bennett PLC,17.56,Dining Out
revolutionize sticky action-items,26.95,Healthcare
Coleman-Guzman,21.60,Dining Out
deliver out-of-the-box communities,10.05,Transport
Dennis LLC,99.37,Utilities
synthesize 24/365 infrastructures,44.96,Dining Out
"White, Williams and Navarro",57.79,Transport
mesh ubiquitous synergies,80.23,Utilities
Lewis and Sons,14.04,Healthcare
seize front-end vortals,88.79,Utilities
"Zamora, Gonzalez and Whitney",33.16,Entertainment
streamline magnetic initiatives,63.88,Transport
"Stewart, Miller and White",53.65,Dining Out
redefine magnetic schemas,79.07,Transport
Peters Ltd,71.77,Utilities
disintermediate interactive deliverables,92.69,Groceries
Vaughn-Oconnor,24.03,Healthcare
orchestrate e-business systems,76.45,Dining Out
Whitaker Inc,22.54,Dining Out
synthesize collaborative e-business,52.69,Entertainment
"Robinson, Goodwin and Thomas",34.96,Utilities
innovate frictionless e-tailers,35.51,Healthcare
Anderson-Oliver,49.64,Groceries
harness one-to-one communities,48.95,Utilities
George-Nolan,18.83,Dining Out
synergize global users,73.61,Entertainment
Taylor-Velasquez,46.95,Entertainment
matrix efficient action-items,44.40,Transport
Howell-Sanders,19.99,Utilities
strategize ubiquitous supply-chains,17.29,Utilities
Olsen and Sons,32.17,Healthcare
integrate magnetic applications,93.63,Dining Out
"Flores, Newman and Martinez",68.00,Utilities
transform holistic users,47.90,Dining Out
Brown-Gordon,32.51,Entertainment
syndicate sticky relationships,77.70,Healthcare
Ramsey and Sons,23.21,Healthcare
integrate customized applications,22.93,Healthcare
Mitchell-Morgan,37.52,Entertainment
transform cross-media markets,98.89,Entertainment
Price Inc,52.44,Healthcare
empower cutting-edge solutions,72.84,Dining Out
Chavez Inc,60.83,Utilities
monetize front-end portals,49.69,Dining Out
Perez LLC,78.70,Entertainment
drive impactful experiences,92.85,Entertainment
"Cooper, Williams and Franklin",11.99,Dining Out
monetize web-enabled platforms,62.16,Entertainment
Bowers LLC,68.37,Groceries
aggregate real-time platforms,57.72,Healthcare
Gibson-Rush,31.88,Transport
deploy value-added metrics,44.30,Utilities
Snyder PLC,60.94,Healthcare
scale synergistic channels,50.33,Groceries
"Castaneda, Jones and Carter",61.91,Groceries
re-contextualize customized experiences,22.58,Groceries
Porter-Randolph,65.54,Groceries
incentivize back-end solutions,90.81,Utilities
Trevino-Sanford,24.84,Entertainment
embrace front-end ROI,45.17,Entertainment
Weber-Hayes,73.34,Groceries
drive front-end e-business,86.04,Transport
Miller-Davenport,12.70,Dining Out
maximize clicks-and-mortar metrics,77.77,Groceries
Mayo-Le,95.05,Dining Out
orchestrate magnetic technologies,78.22,Groceries
Tran-Smith,31.88,Utilities
re-contextualize plug-and-play systems,92.79,Transport
Elliott and Sons,72.96,Entertainment
aggregate 24/365 communities,13.36,Groceries
Merritt-Brown,19.34,Healthcare
disintermediate e-business methodologies,98.25,Transport
Johnson-Reese,28.28,Entertainment
reinvent best-of-breed convergence,34.82,Healthcare
Jensen-Stewart,54.73,Transport
reinvent vertical applications,45.21,Entertainment
"Harris, Garcia and Vincent",18.13,Entertainment
implement integrated e-business,99.50,Transport
Simpson LLC,69.72,Groceries
cultivate dynamic supply-chains,44.30,Entertainment
Ward PLC,91.73,Transport
e-enable efficient methodologies,49.46,Transport
Branch-Washington,20.57,Dining Out
unleash turn-key content,62.45,Groceries
"White, Jones and Harris",82.32,Transport
integrate integrated interfaces,78.18,Dining Out
Marks-Christian,71.08,Transport
expedite world-class niches,74.51,Groceries
Ayala and Sons,29.17,Entertainment
morph dot-com niches,13.59,Dining Out
Patterson-Herrera,46.39,Healthcare
visualize web-enabled networks,59.33,Transport
Mccoy PLC,53.71,Transport
exploit visionary convergence,75.42,Healthcare
"Hicks, Ellison and Maldonado",33.35,Entertainment
whiteboard strategic markets,58.12,Groceries
"Tapia, Graves and Norman",90.43,Dining Out
cultivate bleeding-edge technologies,91.01,Utilities
Wilkins PLC,62.01,Healthcare
integrate B2C users,33.29,Healthcare
Cabrera Ltd,81.03,Entertainment
enable clicks-and-mortar technologies,88.22,Healthcare
Richards Inc,98.13,Transport
morph e-business models,31.11,Entertainment
"Wright, Davis and Davis",79.88,Transport
transition cross-media paradigms,87.05,Groceries
"Calderon, Morris and Smith",44.98,Healthcare
optimize cross-media metrics,68.76,Entertainment
Henderson-Johnson,81.63,Transport
empower leading-edge applications,45.82,Utilities
Scott-Stevens,62.30,Transport
leverage frictionless functionalities,26.52,Dining Out
Frost-Smith,25.26,Transport
mesh interactive web services,63.21,Groceries
"King, Young and Mullins",86.77,Groceries
deploy real-time e-services,50.89,Utilities
Obrien Ltd,14.80,Groceries
re-intermediate best-of-breed eyeballs,96.11,Dining Out
Lopez-Brown,90.48,Dining Out
matrix B2C technologies,71.94,Healthcare
Cox-Richardson,77.96,Dining Out
utilize user-centric channels,36.95,Entertainment
"Freeman, Richards and Hicks",48.78,Healthcare
maximize mission-critical e-tailers,44.67,Utilities
"Espinoza, Hodges and David",27.84,Utilities
leverage cutting-edge initiatives,19.32,Healthcare
Washington-Krause,57.99,Transport
visualize granular deliverables,36.29,Transport
Wang-Davila,38.21,Entertainment
e-enable innovative synergies,17.60,Entertainment
Bartlett-Freeman,39.76,Groceries
innovate best-of-breed bandwidth,72.32,Transport
Smith LLC,82.26,Entertainment
transition rich portals,26.27,Utilities
Garcia Ltd,68.61,Dining Out
morph viral supply-chains,36.65,Entertainment
House-Ward,10.24,Transport
productize compelling info-mediaries,82.90,Dining Out
"Hoffman, Kane and Hart",71.70,Healthcare
target strategic solutions,75.92,Utilities
Francis-Werner,47.02,Entertainment
matrix vertical web-readiness,44.75,Entertainment
Atkinson-Williams,78.81,Groceries
matrix granular systems,33.94,Transport
Russo LLC,91.81,Entertainment
expedite strategic e-business,25.26,Groceries
Coleman Ltd,24.48,Entertainment
integrate viral experiences,33.99,Groceries
Brown PLC,84.64,Transport
monetize open-source e-commerce,13.80,Healthcare
Lawrence LLC,60.92,Healthcare
revolutionize dynamic action-items,89.76,Groceries
Young-Johnson,12.97,Entertainment
redefine revolutionary partnerships,27.06,Utilities
"Jones, Morales and Tate",25.65,Groceries
redefine synergistic niches,72.51,Dining Out
Strickland LLC,83.01,Entertainment
scale customized info-mediaries,40.84,Transport
Miranda-Dean,97.21,Entertainment
engage frictionless functionalities,54.70,Healthcare
Yoder Group,63.07,Utilities
strategize customized applications,87.36,Transport
Winters LLC,15.41,Dining Out
deploy one-to-one paradigms,10.92,Dining Out
Melendez-Ellis,35.16,Healthcare
re-intermediate distributed eyeballs,17.54,Healthcare
Elliott Group,51.77,Utilities
envisioneer efficient convergence,13.99,Dining Out
Baker-Mitchell,43.38,Entertainment
orchestrate killer interfaces,89.53,Entertainment
Greene-Sheppard,11.66,Utilities
drive dot-com ROI,67.25,Entertainment
"Marshall, Osborne and Castro",31.91,Dining Out
brand user-centric interfaces,28.67,Transport
Moore-Carlson,65.41,Dining Out
reinvent transparent experiences,78.13,Transport
Oliver Ltd,96.78,Transport
extend revolutionary e-markets,82.19,Healthcare
Daniels-Smith,15.89,Entertainment
seize efficient methodologies,47.26,Healthcare
Ray-Short,59.25,Entertainment
grow web-enabled convergence,74.44,Dining Out
Gray Group,69.15,Dining Out
integrate value-added niches,73.07,Utilities
Hale-Hernandez,41.83,Dining Out
leverage distributed relationships,51.83,Transport
Reed LLC,67.58,Dining Out
matrix cross-platform e-markets,89.30,Groceries
Thompson Inc,70.34,Groceries
exploit cutting-edge paradigms,83.91,Healthcare
"Brewer, Davis and Wilkins",62.42,Entertainment
maximize intuitive communities,70.22,Dining Out
Hunt-Little,41.32,Groceries
exploit world-class architectures,62.77,Entertainment
Collins Ltd,81.87,Utilities
revolutionize bricks-and-clicks deliverables,60.51,Dining Out
Curtis PLC,45.84,Dining Out
benchmark innovative supply-chains,58.41,Groceries
Murphy Inc,76.28,Healthcare
unleash efficient content,89.28,Entertainment
Perez LLC,31.13,Healthcare
whiteboard open-source portals,20.37,Groceries
"Richardson, Cooper and Mitchell",30.62,Healthcare
enhance 24/7 channels,77.64,Utilities
Gilmore-Murray,93.19,Utilities
engage back-end content,22.57,Entertainment
Griffin Ltd,76.57,Healthcare
monetize rich ROI,12.95,Dining Out
Collins Inc,87.54,Healthcare
unleash 24/7 relationships,93.67,Utilities
Cole-Mitchell,80.13,Utilities
whiteboard rich e-markets,49.96,Entertainment
"Lee, Salazar and Sawyer",29.65,Healthcare
seize holistic communities,82.46,Transport
Andrews-Clarke,34.83,Entertainment
repurpose 24/365 communities,37.27,Utilities
"Taylor, Sexton and Becker",84.35,Groceries
synergize clicks-and-mortar channels,27.53,Healthcare
Cortez and Sons,39.09,Utilities
benchmark distributed methodologies,55.38,Transport
Black-Silva,42.11,Dining Out
synthesize magnetic synergies,45.86,Dining Out
Johnson Inc,55.31,Entertainment
redefine integrated ROI,18.22,Dining Out
Martinez-Murphy,53.48,Utilities
matrix holistic mindshare,82.81,Dining Out
Combs LLC,64.19,Transport
re-intermediate front-end systems,33.80,Healthcare
King-Mccarthy,44.22,Entertainment
synthesize turn-key systems,54.93,Healthcare
Crawford Group,41.81,Groceries
repurpose web-enabled synergies,73.12,Healthcare
Johnson Group,85.15,Utilities
disintermediate efficient experiences,61.29,Groceries
"Smith, Lester and Bolton",16.66,Healthcare
seize frictionless e-services,20.20,Utilities
Barton-Russell,70.53,Utilities
maximize world-class applications,57.01,Utilities
"Richards, Jones and Rojas",50.02,Transport
maximize robust paradigms,30.43,Utilities
Hart Ltd,43.62,Utilities
empower cross-platform relationships,13.25,Dining Out
Holt-Davis,25.35,Groceries
revolutionize bricks-and-clicks e-tailers,20.81,Utilities
Foster-Smith,22.62,Utilities
implement interactive channels,64.40,Transport
"Hall, Frank and Perez",89.72,Utilities
utilize 24/7 communities,58.31,Dining Out
Bradley LLC,71.09,Utilities
facilitate revolutionary web services,99.49,Utilities
Johnston PLC,33.48,Healthcare
empower distributed action-items,13.78,Dining Out
Perez-Jordan,52.90,Groceries
strategize back-end eyeballs,85.25,Healthcare
Fitzgerald-Jones,91.57,Groceries
grow best-of-breed users,46.44,Entertainment
Reilly-Molina,60.96,Transport
matrix customized infrastructures,78.60,Groceries
Mendez-Diaz,12.97,Utilities
embrace robust e-commerce,90.05,Dining Out
Shaw-Richard,43.70,Healthcare
grow magnetic solutions,62.58,Entertainment
Davidson and Sons,49.41,Transport
engage sticky solutions,18.28,Utilities
"Smith, Sanchez and Gonzalez",90.58,Dining Out
e-enable mission-critical info-mediaries,84.17,Transport
Wright-White,38.88,Dining Out
strategize out-of-the-box solutions,71.19,Entertainment
Rodgers Inc,59.74,Healthcare
enable cutting-edge synergies,11.49,Dining Out
Mcgee and Sons,82.24,Dining Out
aggregate out-of-the-box channels,46.44,Dining Out
Dyer PLC,50.02,Healthcare
streamline sticky channels,99.38,Healthcare
"Jimenez, Grimes and Smith",66.92,Entertainment
synthesize turn-key niches,24.59,Entertainment
Miller Group,37.70,Groceries
exploit leading-edge mindshare,48.82,Transport
Allison-Koch,97.54,Dining Out
transition distributed architectures,22.24,Dining Out
Liu-Reeves,19.39,Groceries
maximize scalable e-tailers,82.93,Utilities
Griffith Ltd,85.46,Entertainment
embrace robust metrics,59.20,Dining Out
Hess and Sons,65.81,Dining Out
innovate world-class users,32.26,Transport
Harris Inc,91.57,Healthcare
unleash cross-platform markets,26.37,Utilities
Clark-Sutton,47.16,Utilities
maximize transparent channels,75.71,Healthcare
"Turner, Rogers and Davidson",98.50,Entertainment
implement plug-and-play models,17.77,Utilities
"Reyes, Miller and Navarro",63.98,Dining Out
incubate ubiquitous partnerships,51.64,Dining Out
"Roberts, Lopez and Freeman",71.28,Entertainment
synthesize proactive solutions,78.79,Utilities
Moreno Group,93.54,Groceries
morph frictionless solutions,15.98,Entertainment
"Wolf, Smith and Griffin",57.78,Healthcare
matrix plug-and-play deliverables,68.43,Utilities
"Cordova, Baldwin and Morales",31.25,Healthcare
integrate innovative convergence,56.39,Dining Out
Haley-Wood,26.94,Groceries
evolve B2B e-commerce,81.09,Groceries
Bullock-Murphy,73.84,Transport
utilize impactful eyeballs,40.62,Transport
Williams Inc,31.69,Dining Out
incentivize 24/365 infrastructures,70.72,Groceries
Bautista Ltd,10.99,Groceries
matrix vertical metrics,56.74,Entertainment
Short Ltd,22.62,Healthcare
generate dynamic niches,57.30,Groceries
"Bell, Fisher and Wells",98.09,Utilities
cultivate interactive bandwidth,42.37,Dining Out
Green-Moore,67.86,Groceries
deliver enterprise applications,55.33,Dining Out
Jordan and Sons,32.04,Entertainment
engineer collaborative interfaces,21.34,Transport
Adams Ltd,79.57,Entertainment
embrace dot-com e-markets,95.41,Transport
"Stewart, Cherry and Hernandez",23.57,Groceries
unleash visionary niches,92.24,Utilities
"Snyder, Wright and Powell",13.64,Healthcare
iterate killer initiatives,96.69,Entertainment
Fisher-Walsh,32.84,Groceries
productize back-end web services,18.01,Utilities
Perry LLC,70.14,Utilities
iterate ubiquitous solutions,86.29,Entertainment
"Estrada, Greene and Henry",81.65,Transport
strategize e-business info-mediaries,73.87,Groceries
"Mitchell, Young and Mccullough",94.40,Healthcare
incubate virtual interfaces,89.21,Dining Out
Robbins and Sons,53.89,Groceries
facilitate e-business systems,81.78,Entertainment
Barker-Fuller,73.82,Healthcare
facilitate proactive web-readiness,53.72,Groceries
Sanders Group,55.75,Healthcare
leverage plug-and-play metrics,26.18,Dining Out
Smith-Hines,11.13,Groceries
maximize magnetic deliverables,60.64,Groceries
"Cortez, Avila and Oconnor",63.24,Entertainment
engage bricks-and-clicks markets,70.65,Groceries
Grant LLC,91.57,Dining Out
leverage magnetic infrastructures,57.46,Entertainment
Jacobs PLC,73.84,Transport
incentivize user-centric niches,98.18,Healthcare
"Wilcox, Rasmussen and Lamb",26.73,Groceries
generate dynamic infrastructures,53.33,Entertainment
Torres and Sons,73.79,Groceries
monetize 24/7 architectures,11.94,Entertainment
"Rice, Wong and Vasquez",47.97,Entertainment
deploy out-of-the-box channels,54.61,Transport
Martinez-Jones,73.05,Utilities
drive magnetic mindshare,40.38,Healthcare
Wilson-Cain,65.14,Transport
reinvent cross-platform bandwidth,63.66,Groceries
Jackson PLC,81.35,Healthcare
productize strategic e-tailers,87.42,Groceries
"Brown, Mcintyre and Michael",45.05,Transport
incentivize magnetic eyeballs,72.39,Entertainment
"Johnson, Martinez and Jefferson",14.45,Entertainment
